round,id_dt_ib,iso,name_dt_round,names
cen1951,0087,RJ,alwar,alwar
cen1951,0088,RJ,banswara,banswara
cen1951,0090,RJ,barmer,barmer
cen1951,0091,RJ,bharatpur,bharatpur
cen1951,0092,RJ,bhilwara,"bhilwara,bhilwar"
cen1951,0093,RJ,bikaner,bikaner
cen1951,0094,RJ,bundi,bundi
cen1951,0095,RJ,chittorgarh,"chittaurgarh,chitorgarh,chittorgarh"
cen1951,0096,RJ,churu,churu
cen1951,0099,RJ,dungarpur,dungarpur
cen1951,0100,RJ,ganganagar,ganganagar
cen1951,0100,RJ,ganganagar,ganganagar
cen1951,0102,RJ,jaipur,jaipur
cen1951,0103,RJ,jaisalmer,jaisalmer
cen1951,0105,RJ,jhalawar,jhalawar
cen1951,0106,RJ,jhunjhunu,"jhunjhunun,jhunjhunu"
cen1951,0107,RJ,jodhpur,jodhpur
cen1951,0110,RJ,nagaur,nagaur
cen1951,0111,RJ,pali,"pali,pall"
cen1951,0113,RJ,sawaimadhopur,sawaimadhopur
cen1951,0114,RJ,sikar,sikar
cen1951,0115,RJ,sirohi,sirohi
cen1951,0116,RJ,tonk,tonk
cen1951,0117,RJ,udaipur,udaipur
cen1951,99900247,RJ,jalor,"jalor,jalore"
cen1951,99900249,RJ,kotah,"kota,kotah"
cen1951,99900254,SK,sikkim,sikkim
cen1951,0501,TG,adilabad,adilabad
cen1951,0507,TG,hyderabad,hyderabad
cen1951,0508,TG,karimnagar,karimnagar
cen1951,0513,TG,medak,medak
cen1951,0514,TG,nalgonda,nalgonda
cen1951,0516,TG,nizamabad,nizamabad
cen1951,0522,TG,warangal,warangal
cen1951,99900259,TG,aurangabad,aurangabad
cen1951,99900260,TG,bhir,bhir
cen1951,99900261,TG,bidar,bidar
cen1951,99900262,TG,gulbarga,gulbarga
cen1951,99900263,TG,mahbubnagar,mahbubnagar
cen1951,99900264,TG,nanded,nanded
cen1951,99900265,TG,osmanabad,osmanabad
cen1951,99900266,TG,parbhani,parbhani
cen1951,99900267,TG,raichur,raichur
cen1951,0569,TN,coimbatore,coimbatore
cen1951,0578,TN,madurai,madurai
