id_dt_ib,name_dt_ib,iso,from_year,to_year,is_current
0226,mangan,SK,2011,9999,1
0227,namchi,SK,2011,9999,1
0228,gyalshing,SK,2011,9999,1
0229,changlang,AR,1991,9999,1
0230,dibangvalley,AR,1981,9999,1
0231,eastkameng,AR,1981,9999,1
0232,eastsiang,AR,1981,9999,1
0233,kurungkumey,AR,2001,9999,1
0234,lohit,AR,1961,9999,1
0235,lowerdibangvalley,AR,2011,9999,1
0236,lowersubansiri,AR,1981,9999,1
0237,papumpare,AR,2001,9999,1
0238,tawang,AR,1991,9999,1
0239,tirap,AR,1961,9999,1
0240,uppersiang,AR,2001,9999,1
0241,uppersubansiri,AR,1981,9999,1
0242,westkameng,AR,1981,9999,1
0243,westsiang,AR,1981,9999,1
0244,dimapur,NL,2001,9999,1
0245,kohima,NL,1961,9999,1
0246,mokokchung,NL,1961,9999,1
0247,mon,NL,1981,9999,1
0248,phek,NL,1981,9999,1
0249,tuensang,NL,1951,9999,1
0250,wokha,NL,1981,9999,1
0251,zunheboto,NL,1981,9999,1
0252,bishnupur,MN,1991,9999,1
0253,chandel,MN,1991,9999,1
0254,churachandpur,MN,1991,9999,1
0255,imphaleast,MN,2001,9999,1
0256,imphalwest,MN,2001,9999,1
0257,senapati,MN,1991,9999,1
0258,tamenglong,MN,1991,9999,1
0259,thoubal,MN,1991,9999,1
0260,ukhrul,MN,1991,9999,1
0261,aizawl,MZ,1981,9999,1
0262,champhai,MZ,2001,9999,1
0263,kolasib,MZ,2001,9999,1
0264,lawngtlai,MZ,2001,9999,1
0265,lunglei,MZ,1981,9999,1
0266,mamit,MZ,2001,9999,1
0267,siaha,MZ,2011,9999,1
0268,serchhip,MZ,2001,9999,1
0269,dhalai,TR,2001,9999,1
0270,northtripura,TR,1971,9999,1
0271,southtripura,TR,1971,9999,1
0272,westtripura,TR,1971,9999,1
0273,eastgarohills,ML,1981,9999,1
0274,eastkhasihills,ML,1981,9999,1
0275,westjaintiahills,ML,2011,9999,1
0276,ribhoi,ML,2001,9999,1
0277,southgarohills,ML,2001,9999,1
0278,westgarohills,ML,1981,9999,1
0279,westkhasihills,ML,1981,9999,1
0280,barpeta,AS,1991,9999,1
0281,bongaigaon,AS,1991,9999,1
0282,cachar,AS,1951,9999,1
0283,darrang,AS,1951,9999,1
0284,dhemaji,AS,1991,9999,1
0285,dhubri,AS,2001,9999,1
0286,dibrugarh,AS,1981,9999,1
0287,goalpara,AS,1951,9999,1
0288,golaghat,AS,1991,9999,1
0289,hailakandi,AS,1991,9999,1
0290,jorhat,AS,1991,9999,1
0291,kamrup,AS,1951,9999,1
0292,karbianglong,AS,1981,9999,1
0293,karimganj,AS,1991,9999,1
0294,kokrajhar,AS,1991,9999,1
0295,lakhimpur,AS,1951,9999,1
0296,marigaon,AS,1991,9999,1
0297,nagaon,AS,1991,9999,1
0298,nalbari,AS,1991,9999,1
0299,dimahasao,AS,2001,9999,1
0300,sivasagar,AS,2001,9999,1
0301,sonitpur,AS,1991,9999,1
0302,tinsukia,AS,1991,9999,1
0303,northparganas,WB,2011,9999,1
0304,southparganas,WB,2011,9999,1
0305,bankura,WB,1951,9999,1
0306,purbabardhaman,WB,2011,9999,1
0307,birbhum,WB,1951,9999,1
0308,coochbehar,WB,1951,9999,1
0309,darjeeling,WB,1951,9999,1
0310,dakshindinajpur,WB,2001,9999,1
0311,uttardinajpur,WB,2001,9999,1
0312,hooghly,WB,1951,9999,1
0313,howrah,WB,1951,9999,1
0314,jalpaiguri,WB,1951,9999,1
0315,kolkata,WB,2001,9999,1
0316,malda,WB,1951,9999,1
0317,purbamedinipur,WB,2001,9999,1
0318,paschimmedinipur,WB,2001,9999,1
0319,murshidabad,WB,1951,9999,1
0320,nadia,WB,1951,9999,1
0321,purulia,WB,1961,9999,1
0322,bokaro,JH,2001,9999,1
0323,chatra,JH,2001,9999,1
0324,deoghar,JH,2001,9999,1
