year,dist,iso,names
1961,"chamba","HP","champa,chamba"
1961,"kinnaur","HP","kinnaur"
1961,"mahasu","HP","mahasu"
1961,"mandi","HP","mandi"
1961,"sirmur","HP","sirmur"
1961,"anantnag","JK","anantnag"
1961,"baramulla","JK","baramulla,baramula"
1961,"doda","JK","doda"
1961,"jammu","JK","jammu"
1961,"kathua","JK","kathua"
1961,"ladakh","JK","ladakh"
1961,"poonch","JK","punch,poonch"
1961,"srinagar","JK","srinagar"
1961,"udhampur","JK","udhampur"
1961,"alleppey","KL","alleppey"
1961,"cannanore","KL","cannanore,cannanorekozhikode"
1961,"ernakulam","KL","ernakulam,ernakulamkottayam"
1961,"kottayam","KL","kottayam"
1961,"kozhikode","KL","kozhikode"
1961,"palghat","KL","palghat"
1961,"quilon","KL","quilon"
1961,"trichur","KL","richur,trichur"
1961,"trivandrum","KL","trivandrum"
1961,"laccadive","LD","laccadive,laccadiveminicoyamindiviislands"
1961,"balaghat","MP","balaghat"
1961,"bastar","MP","bastar"
1961,"betul","MP","betul"
1961,"bhind","MP","bhind,bind"
1961,"bilaspur","MP","bilaspur"
1961,"chhatarpur","MP","chhatarpur"
1961,"chhindwara","MP","chhindwara"
1961,"damoh","MP","damoh"
1961,"datia","MP","datia"
1961,"dewas","MP","dewas"
1961,"dhar","MP","dhar"
1961,"durg","MP","durg"
1961,"eastnimar","MP","eastnimar,khandwaeastnimar"
1961,"guna","MP","guna"
1961,"gwalior","MP","gwalior"
1961,"hoshangabad","MP","hoshangabad"
1961,"indore","MP","indore"
1961,"jabalpur","MP","jabalpur"
1961,"jhabua","MP","jhabua"
1961,"mandla","MP","mandla"
1961,"mandsaur","MP","mandsaur"
1961,"morena","MP","morena"
1961,"narsimhapur","MP","narsimhapur"
1961,"panna","MP","panna"
1961,"raigarh","MP","raigarh"
1961,"raipur","MP","raipur"
1961,"raisen","MP","raisen"
1961,"rajgarh","MP","rajgarh"
1961,"ratlam","MP","ratlam"
1961,"rewa","MP","rewa"
1961,"sagar","MP","sagar"
1961,"satna","MP","satna"
1961,"sehore","MP","sehore"
1961,"seoni","MP","seoni"
1961,"shahdol","MP","shahdol,shahdool"
1961,"shajapur","MP","shajapur"
1961,"shivpuri","MP","shivpuri"
1961,"sidhi","MP","sidhi"
1961,"surguja","MP","surguja"
1961,"tikamgarh","MP","tikamgarh"
1961,"ujjain","MP","ujjain"
1961,"vidishabhilsa","MP","vidishabhilsa,vidisha"
1961,"westnimar","MP","westnimar,khargonewestnimar"
1961,"chingleput","TN","chingleput"
1961,"coimbatore","TN","coimbatore"
1961,"kanyakumari","TN","kanyakumari"
1961,"madras","TN","madras"
1961,"madurai","TN","madurai"
1961,"nilgiri","TN","nilgiri,nilgiris"
1961,"northarcot","TN","northarcot"
1961,"ramanathapuram","TN","ramanathapuram"
1961,"salem","TN","salem"
1961,"southarcot","TN","southarcot"
1961,"thanjavur","TN","thanjavur"
1961,"tiruchirapalli","TN","tiruchirapalli"
1961,"tirunelveli","TN","tirunelveli,t"
1961,"ahmadnagar","MH","ahmednagar,ahmadnagar"
1961,"akola","MH","akola"
1961,"amravati","MH","amravati"
1961,"aurangabad","MH","aurangabad"
1961,"bhandara","MH","bhandara"
1961,"bhir","MH","bhir"
1961,"buldhana","MH","buldhana"
