year,state,names
2001,"maharashtra","maharashtra,mhmaharashtra,maharastra,mh,ms"
2001,"andhrapradesh","andhrapradesh,apandhrapradesh,ap"
2001,"karnataka","karnataka,kakarnataka,ka,mysore"
2001,"goa","goa"
2001,"lakshadweep","lakshadweep,lakshadwep,ld"
2001,"kerala","kerala,kekerala,kerela,kl,travancorecochin"
2001,"tamilnadu","tamilnadu,tntamilnadu,tn,madras"
2001,"pondicherry","puducherry,pondicherry,pondi,py,pondicherryfrench"
2001,"andamannicobarislands","andamannicobarislands,andamannicobarisland,anislands,anisland,andamannicobar,an,andamanandnicobarislands"
2011,"jammukashmir","jammukashmir,jmjammukashmir,jammu,jk,jammuandkashmir,ladakh"
2011,"himachalpradesh","himachalpradesh,hphimachalpradesh,himachal,hp,bilaspur"
2011,"punjab","punjab,pjpunjab,panjab,pb"
2011,"chandigarh","chandigarh,sahibzadaajitsinghnagar"
2011,"uttarakhand","ut,uttaranchal,uttrakhand,uk,uttranchal"
2011,"haryana","haryana,hrharyana,hr"
2011,"delhi","delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl,nctofdelhi"
2011,"rajasthan","rajasthan,rjrajasthan,rj"
2011,"uttarpradesh","uttarpradesh,uputtarpradesh,uttarapradesh,up"
2011,"bihar","bihar,bhbihar,br,bh"
2011,"sikkim","sikkim,sksikkim,sk"
2011,"arunachalpradesh","arunachalpradesh,ararunachalpradesh,arunanchalpradesh,ar,arunancal predesh,arp"
2011,"nagaland","nagaland,nanagaland,nl"
2011,"manipur","manipur,mamanipur,mn,mnp"
2011,"mizoram","mizohills,mizoram,mz"
2011,"tripura","tripura,trtripura,tr,tp"
2011,"meghalaya","shillong,meghalay,meghalaya,mgh"
2011,"assam","assam,asassam,as"
2011,"westbengal","westbengal,wbwestbengal,wb"
2011,"jharkhand","jharkhand,jh"
2011,"odisha","orissa,ororissa,or,odisha"
2011,"chhattisgarh","chhattisgarh,ct,chhatisgarh,cg,chattisgarh"
2011,"madhyapradesh","madhyapradesh,madhypradesh,mpmadhyapradesh,mp"
2011,"gujarat","gujarat,gjgujarat,gujrat,gj,kutch,saurashtra"
2011,"damandiu","damandiu,daman,diu"
2011,"dadranagarhaveli","dadranagarhaveli,dnhaveli,thedadraandnagarhavelianddamananddiu"
2011,"maharashtra","maharashtra,mhmaharashtra,mh,ms"
2011,"andhrapradesh","andhrapradesh,apandhrapradesh,ap,telangana"
2011,"karnataka","karnataka,kakarnataka,ka,mysore"
2011,"goa","goa"
2011,"lakshadweep","lakshadweep,lakshadwep,ld"
2011,"kerala","kerala,kekerala,kerela,kl,travancorecochin,ke"
2011,"tamilnadu","tamilnadu,tntamilnadu,tn,madras"
2011,"pondicherry","puducherry,pondicherry,pondi,py,pondicherryfrench"
2011,"andamannicobarislands","andamannicobarislands,andamannicobarisland,anislands,andamannicobar,an,andamansnicobars,andamanandnicobar,andmanandnocobarislands,andamanandnicobarislands"
