round,id_st_ib,name_st_round,names
cen1991,06,haryana,"haryana,hrharyana,hr"
cen1991,07,delhi,"delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl"
cen1991,08,rajasthan,"rajasthan,rjrajasthan,rj"
cen1991,09,uttarpradesh,"uttarpradesh,uputtarpradesh,uttarapradesh,up"
cen1991,10,bihar,"bihar,bhbihar,br"
cen1991,11,sikkim,"sikkim,sksikkim,sk,gangtok,districtsikkim"
cen1991,12,arunachalpradesh,"arunachalpradesh,ararunachalpradesh,arunanchalpradesh,ar"
cen1991,13,nagaland,"nagaland,nanagaland,nl"
cen1991,14,manipur,"manipur,mamanipur,mn"
cen1991,15,mizoram,"mizohills,mizoram"
cen1991,16,tripura,"tripura,trtripura,tr,agartala"
cen1991,17,meghalaya,"shillong,meghalay,meghalaya"
cen1991,18,assam,"assam,asassam,as"
cen1991,19,westbengal,"westbengal,wbwestbengal,wb"
cen1991,21,orissa,"orissa,ororissa,or"
cen1991,23,madhyapradesh,"madhyapradesh,madhypradesh,mpmadhyapradesh,mp"
cen1991,24,gujarat,"gujarat,gjgujarat,gujrat,gj,kutch,saurashtra"
cen1991,25,damandiu,"daman,diu,damandiu,damananddiu"
cen1991,26,dadranagarhaveli,"dadranagarhaveli,silvassa,dadraandnagarhaveli"
cen1991,27,maharashtra,"maharashtra,mhmaharashtra,mh,ms,maharastra"
cen1991,28,andhrapradesh,"andhrapradesh,apandhrapradesh,ap"
cen1991,29,karnataka,"karnataka,kakarnataka,ka,mysore"
cen1991,30,goa,"goadamandiu,goa"
cen1991,31,lakshadweep,"laccadiveminicoyamindiviislands,laccadiveminicoiamindiviislands,laccadive,lakshadweep,lakshdweep,kavaratti,districtlakshadweep"
cen1991,32,kerala,"kerala,kekerala,kerela,kl,travancorecochin"
cen1991,33,tamilnadu,"tamilnadu,tntamilnadu,tn,madras"
cen1991,34,pondicherry,"puducherry,pondicherry,pondi,py,pondicherryfrench,districtpuducherry"
cen1991,35,andamannicobarislands,"andamannicobarislands,andamannicobarisland,anislands,anisland,andamannicobar,an,port blair,andamanandnicobarislands"
cen2001,01,jammukashmir,"jammukashmir,jmjammukashmir,jammu,jk,jammuandkashmir"
cen2001,02,himachalpradesh,"himachalpradesh,hphimachalpradesh,himachal,hp,bilaspur"
cen2001,03,punjab,"punjab,pjpunjab,panjab,pb"
cen2001,04,chandigarh,"chandigarh,sahibzadaajitsinghnagar"
cen2001,05,uttaranchal,"ut,uttaranchal,uttarakhand"
cen2001,06,haryana,"haryana,hrharyana,hr"
cen2001,07,delhi,"delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl"
cen2001,08,rajasthan,"rajasthan,rjrajasthan,rj"
cen2001,09,uttarpradesh,"uttarpradesh,uputtarpradesh,uttarapradesh,up"
cen2001,10,bihar,"bihar,bhbihar,br"
cen2001,11,sikkim,"sikkim,sksikkim,sk"
cen2001,12,arunachalpradesh,"arunachalpradesh,ararunachalpradesh,arunanchalpradesh,ar"
cen2001,13,nagaland,"nagaland,nanagaland,nl"
cen2001,14,manipur,"manipur,mamanipur,mn"
cen2001,15,mizoram,"mizohills,mizoram"
cen2001,16,tripura,"tripura,trtripura,tr"
cen2001,17,meghalaya,"shillong,meghalay,meghalaya"
cen2001,18,assam,"assam,asassam,as"
cen2001,19,westbengal,"westbengal,wbwestbengal,wb"
cen2001,20,jharkhand,"jharkhand,jh"
cen2001,21,orissa,"orissa,ororissa,or"
cen2001,22,chhattisgarh,"chhattisgarh,ct,chhatisgarh"
cen2001,23,madhyapradesh,"madhyapradesh,madhypradesh,mpmadhyapradesh,mp"
cen2001,24,gujarat,"gujarat,gjgujarat,gujrat,gj,kutch,saurashtra"
cen2001,25,damandiu,"damandiu,daman,diu"
cen2001,26,dadranagarhaveli,dadranagarhaveli
cen2001,27,maharashtra,"maharashtra,mhmaharashtra,maharastra,mh,ms"
cen2001,28,andhrapradesh,"andhrapradesh,apandhrapradesh,ap"
cen2001,29,karnataka,"karnataka,kakarnataka,ka,mysore"
cen2001,30,goa,goa
cen2001,31,lakshadweep,"lakshadweep,lakshadwep,ld"
cen2001,32,kerala,"kerala,kekerala,kerela,kl,travancorecochin"
cen2001,33,tamilnadu,"tamilnadu,tntamilnadu,tn,madras"
cen2001,34,pondicherry,"puducherry,pondicherry,pondi,py,pondicherryfrench"
cen2001,35,andamannicobarislands,"andamannicobarislands,andamannicobarisland,anislands,anisland,andamannicobar,an,andamanandnicobarislands"
cen2011,01,jammukashmir,"jammukashmir,jmjammukashmir,jammu,jk,jammuandkashmir,ladakh"
cen2011,02,himachalpradesh,"himachalpradesh,hphimachalpradesh,himachal,hp,bilaspur"
cen2011,03,punjab,"punjab,pjpunjab,panjab,pb"
cen2011,04,chandigarh,"chandigarh,sahibzadaajitsinghnagar"
cen2011,05,uttarakhand,"ut,uttaranchal,uttrakhand,uk,uttranchal"
cen2011,06,haryana,"haryana,hrharyana,hr"
cen2011,07,delhi,"delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl,nctofdelhi"
cen2011,08,rajasthan,"rajasthan,rjrajasthan,rj"
cen2011,09,uttarpradesh,"uttarpradesh,uputtarpradesh,uttarapradesh,up"
cen2011,10,bihar,"bihar,bhbihar,br,bh"
cen2011,11,sikkim,"sikkim,sksikkim,sk"
cen2011,12,arunachalpradesh,"arunachalpradesh,ararunachalpradesh,arunanchalpradesh,ar,arunancal predesh,arp"
cen2011,13,nagaland,"nagaland,nanagaland,nl"
cen2011,14,manipur,"manipur,mamanipur,mn,mnp"
cen2011,15,mizoram,"mizohills,mizoram,mz"
cen2011,16,tripura,"tripura,trtripura,tr,tp"
cen2011,17,meghalaya,"shillong,meghalay,meghalaya,mgh"
cen2011,18,assam,"assam,asassam,as"
cen2011,19,westbengal,"westbengal,wbwestbengal,wb"
cen2011,20,jharkhand,"jharkhand,jh"
cen2011,21,odisha,"orissa,ororissa,or,odisha"
cen2011,22,chhattisgarh,"chhattisgarh,ct,chhatisgarh,cg,chattisgarh"
cen2011,23,madhyapradesh,"madhyapradesh,madhypradesh,mpmadhyapradesh,mp"
cen2011,24,gujarat,"gujarat,gjgujarat,gujrat,gj,kutch,saurashtra"
cen2011,25,damandiu,"damandiu,daman,diu"
cen2011,26,dadranagarhaveli,"dadranagarhaveli,dnhaveli,thedadraandnagarhavelianddamananddiu"
cen2011,27,maharashtra,"maharashtra,mhmaharashtra,mh,ms"
cen2011,28,andhrapradesh,"andhrapradesh,apandhrapradesh,ap,telangana"
cen2011,29,karnataka,"karnataka,kakarnataka,ka,mysore"
cen2011,30,goa,goa
cen2011,31,lakshadweep,"lakshadweep,lakshadwep,ld"
